UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.040_N.29_040/29/11_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,1,266,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,90,PAS,DR. SAM,MALE,53,176,266,0,0
P.040_N.29_040/29/11_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,2,306,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,74,PAS,DR. SAM,MALE,53,229,303,3,0
P.040_N.29_040/29/11_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,3,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.29_040/29/11_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,4,366,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,45,PAS,DR. SAM,MALE,53,318,363,3,0
P.040_N.29_040/29/11_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,5,361,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,51,PAS,DR. SAM,MALE,53,308,359,2,0
P.040_N.29_040/29/11_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,6,307,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,47,PAS,DR. SAM,MALE,53,260,307,0,0
P.040_N.29_040/29/11_7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,7,352,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,52,PAS,DR. SAM,MALE,53,299,351,1,0
P.040_N.29_040/29/11_8,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,8,322,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,55,PAS,DR. SAM,MALE,53,267,322,0,0
P.040_N.29_040/29/11_9,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/11,RANTAU PETRONAS,SEKOLAH KEBANGSAAN KG BARU KERTEH,9,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.30_040/30/01_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/01,PADANG KUBU,SEKOLAH KEBANGSAAN PADANG KUBU,1,292,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,153,PAS,DR. SAM,MALE,53,135,288,4,0
