UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.040_N.30_040/30/07_a4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,4,427,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,71,PAS,DR. SAM,MALE,53,353,424,3,0
P.040_N.30_040/30/07_a5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,5,406,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,67,PAS,DR. SAM,MALE,53,338,405,1,0
P.040_N.30_040/30/07_a6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,6,390,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,63,PAS,DR. SAM,MALE,53,326,389,1,0
P.040_N.30_040/30/07_a7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,7,429,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,63,PAS,DR. SAM,MALE,53,365,428,1,0
P.040_N.30_040/30/07_a8,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,8,411,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,48,PAS,DR. SAM,MALE,53,359,407,4,0
P.040_N.30_040/30/07_b1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH MENENGAH KEBANGSAAN BUKIT KUANG,1,338,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,148,PAS,DR. SAM,MALE,53,189,337,1,0
P.040_N.30_040/30/07_b2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH MENENGAH KEBANGSAAN BUKIT KUANG,2,473,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,151,PAS,DR. SAM,MALE,53,320,471,2,0
P.040_N.30_040/30/07_b3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH MENENGAH KEBANGSAAN BUKIT KUANG,3,436,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,126,PAS,DR. SAM,MALE,53,310,436,0,0
P.040_N.30_040/30/07_b4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH MENENGAH KEBANGSAAN BUKIT KUANG,4,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.30_040/30/07_b5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH MENENGAH KEBANGSAAN BUKIT KUANG,5,415,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,113,PAS,DR. SAM,MALE,53,301,414,1,0
P.040_N.30_040/30/08_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/08,PAYOH,SEKOLAH KEBANGSAAN PAYOH,1,371,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,203,PAS,DR. SAM,MALE,53,166,369,2,0
P.040_N.30_040/30/08_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/08,PAYOH,SEKOLAH KEBANGSAAN PAYOH,2,519,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,211,PAS,DR. SAM,MALE,53,307,518,1,0
P.040_N.30_040/30/08_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/08,PAYOH,SEKOLAH KEBANGSAAN PAYOH,3,484,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,221,PAS,DR. SAM,MALE,53,261,482,2,0
P.040_N.30_040/30/09_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/09,BERIS MERAGA,SEKOLAH KEBANGSAAN MERAGA BERIS,1,347,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,177,PAS,DR. SAM,MALE,53,169,346,1,0
P.040_N.30_040/30/09_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/09,BERIS MERAGA,SEKOLAH KEBANGSAAN MERAGA BERIS,2,426,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,140,PAS,DR. SAM,MALE,53,285,425,1,0
P.040_N.30_040/30/09_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/09,BERIS MERAGA,SEKOLAH KEBANGSAAN MERAGA BERIS,3,392,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,108,PAS,DR. SAM,MALE,53,282,390,2,0
P.040_N.30_040/30/09_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/09,BERIS MERAGA,SEKOLAH KEBANGSAAN MERAGA BERIS,4,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.30_040/30/09_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/09,BERIS MERAGA,SEKOLAH KEBANGSAAN MERAGA BERIS,5,387,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,94,PAS,DR. SAM,MALE,53,293,387,0,0
P.040_N.31_040/31/01_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/01,BAKAU TINGGI,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,1,298,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,129,PAS,DR. SAM,MALE,53,169,298,0,0
P.040_N.31_040/31/01_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/01,BAKAU TINGGI,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,2,336,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,100,PAS,DR. SAM,MALE,53,235,335,1,0
P.040_N.31_040/31/01_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/01,BAKAU TINGGI,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,3,323,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,72,PAS,DR. SAM,MALE,53,249,321,2,0
P.040_N.31_040/31/02_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/02,KAMPUNG BESUT,SEKOLAH KEBANGSAAN SERI KEMAMAN,1,298,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,108,PAS,DR. SAM,MALE,53,189,297,1,0
P.040_N.31_040/31/02_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/02,KAMPUNG BESUT,SEKOLAH KEBANGSAAN SERI KEMAMAN,2,319,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,69,PAS,DR. SAM,MALE,53,250,319,0,0
P.040_N.31_040/31/02_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/02,KAMPUNG BESUT,SEKOLAH KEBANGSAAN SERI KEMAMAN,3,337,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,59,PAS,DR. SAM,MALE,53,277,336,1,0
P.040_N.31_040/31/02_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/02,KAMPUNG BESUT,SEKOLAH KEBANGSAAN SERI KEMAMAN,4,317,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,66,PAS,DR. SAM,MALE,53,251,317,0,0
P.040_N.31_040/31/03_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/03,KAMPUNG TUAN,SEKOLAH KEBANGSAAN CHUKAI,1,298,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,107,PAS,DR. SAM,MALE,53,186,293,5,0
P.040_N.31_040/31/03_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/03,KAMPUNG TUAN,SEKOLAH KEBANGSAAN CHUKAI,2,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.31_040/31/04_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,1,271,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,102,PAS,DR. SAM,MALE,53,169,271,0,0
P.040_N.31_040/31/04_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,2,322,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,90,PAS,DR. SAM,MALE,53,231,321,1,0
P.040_N.31_040/31/04_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,3,477,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,103,PAS,DR. SAM,MALE,53,373,476,0,1
P.040_N.31_040/31/04_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,4,416,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,68,PAS,DR. SAM,MALE,53,347,415,1,0
P.040_N.31_040/31/04_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,5,379,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,60,PAS,DR. SAM,MALE,53,319,379,0,0
P.040_N.31_040/31/04_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,6,391,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,72,PAS,DR. SAM,MALE,53,318,390,1,0
P.040_N.31_040/31/04_7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/04,GONG LIMAU,SEKOLAH KEBANGSAAN SERI IMAN,7,392,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,67,PAS,DR. SAM,MALE,53,324,391,1,0
P.040_N.31_040/31/05_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,1,304,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,101,PAS,DR. SAM,MALE,53,201,302,2,0
P.040_N.31_040/31/05_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,2,328,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,76,PAS,DR. SAM,MALE,53,252,328,0,0
P.040_N.31_040/31/05_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,3,453,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,76,PAS,DR. SAM,MALE,53,374,450,3,0
P.040_N.31_040/31/05_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,4,401,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,48,PAS,DR. SAM,MALE,53,352,400,1,0
P.040_N.31_040/31/05_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,5,387,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,46,PAS,DR. SAM,MALE,53,340,386,1,0
P.040_N.31_040/31/05_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,6,411,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,49,PAS,DR. SAM,MALE,53,360,409,2,0
P.040_N.31_040/31/05_7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/05,GONG PAUH,SEKOLAH MENENGAH KEBANGSAAN BUKIT MENTOK,7,378,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,57,PAS,DR. SAM,MALE,53,321,378,0,0
P.040_N.31_040/31/06_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,1,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.31_040/31/06_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,2,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.31_040/31/06_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,3,320,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,119,PAS,DR. SAM,MALE,53,201,320,0,0
P.040_N.31_040/31/06_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,4,433,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,157,PAS,DR. SAM,MALE,53,275,432,1,0
P.040_N.31_040/31/06_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,5,341,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,86,PAS,DR. SAM,MALE,53,255,341,0,0
P.040_N.31_040/31/06_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,6,287,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,80,PAS,DR. SAM,MALE,53,204,284,3,0
P.040_N.31_040/31/06_7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,7,317,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,85,PAS,DR. SAM,MALE,53,231,316,1,0
P.040_N.31_040/31/06_8,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/06,KUBANG KURUS,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,8,320,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,81,PAS,DR. SAM,MALE,53,238,319,1,0
P.040_N.31_040/31/07_9,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/07,BANGGUL,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,9,241,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,85,PAS,DR. SAM,MALE,53,155,240,1,0
P.040_N.31_040/31/07_10,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/07,BANGGUL,SEKOLAH MENENGAH KEBANGSAAN CHUKAI,10,268,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,57,PAS,DR. SAM,MALE,53,211,268,0,0
P.040_N.31_040/31/08_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/08,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN CHUKAI,3,191,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,129,PAS,DR. SAM,MALE,53,60,189,2,0
P.040_N.31_040/31/08_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/08,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN CHUKAI,4,256,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,176,PAS,DR. SAM,MALE,53,80,256,0,0
P.040_N.31_040/31/08_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/08,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN CHUKAI,5,272,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,147,PAS,DR. SAM,MALE,53,125,272,0,0
P.040_N.31_040/31/08_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/08,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN CHUKAI,6,245,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,97,PAS,DR. SAM,MALE,53,147,244,1,0
P.040_N.31_040/31/09_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/09,KUALA KEMAMAN,SEKOLAH KEBANGSAAN KUALA KEMAMAN,1,330,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,167,PAS,DR. SAM,MALE,53,161,328,2,0
P.040_N.31_040/31/09_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/09,KUALA KEMAMAN,SEKOLAH KEBANGSAAN KUALA KEMAMAN,2,481,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,179,PAS,DR. SAM,MALE,53,298,477,4,0
P.040_N.31_040/31/09_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/09,KUALA KEMAMAN,SEKOLAH KEBANGSAAN KUALA KEMAMAN,3,423,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,132,PAS,DR. SAM,MALE,53,290,422,1,0
P.040_N.31_040/31/09_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/09,KUALA KEMAMAN,SEKOLAH KEBANGSAAN KUALA KEMAMAN,4,398,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,138,PAS,DR. SAM,MALE,53,260,398,0,0
P.040_N.31_040/31/10_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,1,298,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,103,PAS,DR. SAM,MALE,53,195,298,0,0
P.040_N.31_040/31/10_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,2,351,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,114,PAS,DR. SAM,MALE,53,236,350,1,0
P.040_N.31_040/31/10_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,3,484,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,145,PAS,DR. SAM,MALE,53,338,483,1,0
P.040_N.31_040/31/10_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,4,444,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,116,PAS,DR. SAM,MALE,53,325,441,3,0
P.040_N.31_040/31/10_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,5,411,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,78,PAS,DR. SAM,MALE,53,333,411,0,0
P.040_N.31_040/31/10_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,6,441,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,76,PAS,DR. SAM,MALE,53,361,437,4,0
P.040_N.31_040/31/10_7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/10,GELIGA,SEKOLAH MENENGAH KEBANGSAAN GELIGA,7,434,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,80,PAS,DR. SAM,MALE,53,354,434,0,0
P.040_N.31_040/31/11_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/11,JAKAR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUKAI,1,250,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,192,PAS,DR. SAM,MALE,53,58,250,0,0
P.040_N.31_040/31/11_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/11,JAKAR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUKAI,2,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,,,,,
P.040_N.31_040/31/11_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/11,JAKAR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUKAI,3,413,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,188,PAS,DR. SAM,MALE,53,225,413,0,0
P.040_N.31_040/31/11_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/11,JAKAR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUKAI,4,422,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,127,PAS,DR. SAM,MALE,53,294,421,1,0
P.040_N.31_040/31/12_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/12,FIKRI,SEKOLAH KEBANGSAAN MAK LAGAM,1,318,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,114,PAS,DR. SAM,MALE,53,203,317,1,0
P.040_N.31_040/31/12_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/12,FIKRI,SEKOLAH KEBANGSAAN MAK LAGAM,2,413,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,114,PAS,DR. SAM,MALE,53,299,413,0,0
P.040_N.31_040/31/12_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/12,FIKRI,SEKOLAH KEBANGSAAN MAK LAGAM,3,380,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,84,PAS,DR. SAM,MALE,53,295,379,1,0
P.040_N.31_040/31/12_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/12,FIKRI,SEKOLAH KEBANGSAAN MAK LAGAM,4,420,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,108,PAS,DR. SAM,MALE,53,310,418,2,0
P.040_N.31_040/31/12_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/12,FIKRI,SEKOLAH KEBANGSAAN MAK LAGAM,5,400,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,84,PAS,DR. SAM,MALE,53,316,400,0,0
P.040_N.31_040/31/13_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/13,PAYA BERENJUT,SEKOLAH MENENGAH KEBANGSAAN BANGGOL,1,346,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,122,PAS,DR. SAM,MALE,53,222,344,2,0
P.040_N.31_040/31/13_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/13,PAYA BERENJUT,SEKOLAH MENENGAH KEBANGSAAN BANGGOL,2,481,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,122,PAS,DR. SAM,MALE,53,358,480,1,0
P.040_N.31_040/31/13_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/13,PAYA BERENJUT,SEKOLAH MENENGAH KEBANGSAAN BANGGOL,3,439,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,85,PAS,DR. SAM,MALE,53,352,437,2,0
P.040_N.31_040/31/13_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.31,CUKAI,040/31/13,PAYA BERENJUT,SEKOLAH MENENGAH KEBANGSAAN BANGGOL,4,427,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,83,PAS,DR. SAM,MALE,53,344,427,0,0
