UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,BUMIPUTERA SABAH,BUMIPUTERA SARAWAK,CINA,INDIA,LAIN LAIN,MELAYU,ORANG ASLI,TOTAL ELECTORS,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 DAN KE ATAS,MALE ELECTORS,FEMALE ELECTORS,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE SEX,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE,INDEPENDENT 5,INDEPENDENT 5 CANDIDATE,INDEPENDENT 5 CANDIDATE SEX,INDEPENDENT 5 CANDIDATE AGE,INDEPENDENT 5 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VALID VOTE CHECK,TOTAL BALLOT CHECK
P.132_N.33_132/33/00_1,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.33,SRI TANJUNG,132/33/00,UNDI AWAL,"BILIK LATIHAN BLOK MAWAR, IPD PORT DICKSON",14,12,3,18,1,322,,370,81,148,35,86,20,,,,317,53,1,304,,,,,,PKR,ANWAR IBRAHIM,MALE,71,123,PAS,LT KOL (B) HAJI NAZARI,MALE,57,147,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,21,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,295,9,0,1,1
UNDI BIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132_N.29_132/29/01_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,,,232,97,4,17,,350,,,,,,220,108,22,139,211,1,137,,,,,,PKR,ANWAR IBRAHIM,MALE,71,106,PAS,LT KOL (B) HAJI NAZARI,MALE,57,8,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,7,133,4,0,1,1
P.132_N.29_132/29/01_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,,,202,132,,15,1,350,,,,,264,86,,,168,182,2,204,,,,,,PKR,ANWAR IBRAHIM,MALE,71,163,PAS,LT KOL (B) HAJI NAZARI,MALE,57,7,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,4,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,18,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,4,200,4,0,1,1
P.132_N.29_132/29/01_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,,,174,142,2,32,,350,,,,52,298,,,,159,191,3,215,,,,,,PKR,ANWAR IBRAHIM,MALE,71,174,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,26,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,213,2,0,1,1
P.132_N.29_132/29/01_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,1,,275,223,2,36,,537,,,,537,,,,,266,271,4,307,,,,,,PKR,ANWAR IBRAHIM,MALE,71,252,PAS,LT KOL (B) HAJI NAZARI,MALE,57,17,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,23,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,300,7,0,1,1
P.132_N.29_132/29/01_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,,,295,196,,45,1,537,,,319,218,,,,,275,262,5,306,,,,,,PKR,ANWAR IBRAHIM,MALE,71,256,PAS,LT KOL (B) HAJI NAZARI,MALE,57,17,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,29,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,304,2,0,1,1
P.132_N.29_132/29/01_6,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,2,2,262,221,,50,,537,,104,433,,,,,,278,259,6,289,,,,,,PKR,ANWAR IBRAHIM,MALE,71,245,PAS,LT KOL (B) HAJI NAZARI,MALE,57,12,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,26,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,287,2,0,1,1
P.132_N.29_132/29/01_7,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,1,,266,233,2,35,,537,,537,,,,,,,283,254,7,247,,,,,,PKR,ANWAR IBRAHIM,MALE,71,227,PAS,LT KOL (B) HAJI NAZARI,MALE,57,5,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,10,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,245,2,0,1,1
P.132_N.29_132/29/01_8,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/01,TANAH MERAH,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,2,,229,245,,62,,538,393,145,,,,,,,282,256,8,206,,,,,,PKR,ANWAR IBRAHIM,MALE,71,183,PAS,LT KOL (B) HAJI NAZARI,MALE,57,7,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,202,4,0,1,1
