UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,BUMIPUTERA SABAH,BUMIPUTERA SARAWAK,CINA,INDIA,LAIN LAIN,MELAYU,ORANG ASLI,TOTAL ELECTORS,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 DAN KE ATAS,MALE ELECTORS,FEMALE ELECTORS,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE SEX,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE,INDEPENDENT 5,INDEPENDENT 5 CANDIDATE,INDEPENDENT 5 CANDIDATE SEX,INDEPENDENT 5 CANDIDATE AGE,INDEPENDENT 5 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VALID VOTE CHECK,TOTAL BALLOT CHECK
P.132_N.30_132/30/04_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,1,,250,60,2,37,,350,,,,256,94,,,,186,164,3,231,,,,,,PKR,ANWAR IBRAHIM,MALE,71,195,PAS,LT KOL (B) HAJI NAZARI,MALE,57,9,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,15,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,7,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,228,3,0,1,1
P.132_N.30_132/30/04_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,1,,368,79,,85,,533,,,,533,,,,,276,257,4,356,,,,,,PKR,ANWAR IBRAHIM,MALE,71,303,PAS,LT KOL (B) HAJI NAZARI,MALE,57,19,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,23,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,346,10,0,1,1
P.132_N.30_132/30/04_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,2,1,383,84,4,59,,533,,,514,19,,,,,277,256,5,324,,,,,,PKR,ANWAR IBRAHIM,MALE,71,284,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,15,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,5,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,4,319,5,0,1,1
P.132_N.30_132/30/04_6,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,,2,384,92,1,54,,533,,211,322,,,,,,257,276,6,279,,,,,,PKR,ANWAR IBRAHIM,MALE,71,248,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,14,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,5,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,279,0,0,1,1
P.132_N.30_132/30/04_7,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,,2,359,115,,57,,533,,533,,,,,,,252,281,7,285,,,,,,PKR,ANWAR IBRAHIM,MALE,71,255,PAS,LT KOL (B) HAJI NAZARI,MALE,57,9,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,10,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,281,4,0,1,1
P.132_N.30_132/30/04_8,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,,,303,112,1,117,,533,449,84,,,,,,,250,283,8,248,,,,,,PKR,ANWAR IBRAHIM,MALE,71,217,PAS,LT KOL (B) HAJI NAZARI,MALE,57,20,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,8,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,248,0,0,1,1
P.132_N.30_132/30/05_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,,,308,17,4,21,,350,,,,,87,187,71,5,158,192,1,183,,,,,,PKR,ANWAR IBRAHIM,MALE,71,157,PAS,LT KOL (B) HAJI NAZARI,MALE,57,8,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,4,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,7,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,179,4,0,1,1
P.132_N.30_132/30/05_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,,,286,29,2,33,,350,,,,,350,,,,178,172,2,229,,,,,,PKR,ANWAR IBRAHIM,MALE,71,193,PAS,LT KOL (B) HAJI NAZARI,MALE,57,19,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,12,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,228,1,0,1,1
P.132_N.30_132/30/05_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,,,258,38,4,50,,350,,,,297,53,,,,164,186,3,241,,,,,,PKR,ANWAR IBRAHIM,MALE,71,210,PAS,LT KOL (B) HAJI NAZARI,MALE,57,11,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,13,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,238,3,0,1,1
P.132_N.30_132/30/05_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,,,311,65,1,74,,451,,,149,302,,,,,237,214,4,283,,,,,,PKR,ANWAR IBRAHIM,MALE,71,238,PAS,LT KOL (B) HAJI NAZARI,MALE,57,20,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,18,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,282,1,0,1,1
P.132_N.30_132/30/05_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,1,4,245,85,4,112,,451,,92,359,,,,,,213,238,5,273,,,,,,PKR,ANWAR IBRAHIM,MALE,71,228,PAS,LT KOL (B) HAJI NAZARI,MALE,57,25,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,16,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,272,1,0,1,1
P.132_N.30_132/30/05_6,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,,,228,83,1,139,,451,,451,,,,,,,212,239,6,231,,,,,,PKR,ANWAR IBRAHIM,MALE,71,181,PAS,LT KOL (B) HAJI NAZARI,MALE,57,29,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,19,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,231,0,0,1,1
P.132_N.30_132/30/05_7,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/05,LUKUT,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI SALAK,,1,209,80,,161,,451,367,84,,,,,,,214,237,7,222,,,,,,PKR,ANWAR IBRAHIM,MALE,71,158,PAS,LT KOL (B) HAJI NAZARI,MALE,57,36,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,23,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,220,1,1,1,1
P.132_N.30_132/30/06_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/06,SRI PARIT,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA LUKUT,,,290,32,10,18,,350,,,,,210,106,28,6,156,194,1,206,,,,,,PKR,ANWAR IBRAHIM,MALE,71,182,PAS,LT KOL (B) HAJI NAZARI,MALE,57,9,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,202,4,0,1,1
P.132_N.30_132/30/06_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/06,SRI PARIT,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA LUKUT,,,280,34,6,30,,350,,,,274,76,,,,184,166,2,242,,,,,,PKR,ANWAR IBRAHIM,MALE,71,218,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,239,3,0,1,1
P.132_N.30_132/30/06_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/06,SRI PARIT,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA LUKUT,,,489,63,7,30,,589,,,263,326,,,,,304,285,3,356,,,,,,PKR,ANWAR IBRAHIM,MALE,71,328,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,6,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,6,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,353,3,0,1,1
P.132_N.30_132/30/06_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/06,SRI PARIT,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA LUKUT,1,1,440,89,7,51,,589,,84,505,,,,,,302,287,4,330,,,,,,PKR,ANWAR IBRAHIM,MALE,71,302,PAS,LT KOL (B) HAJI NAZARI,MALE,57,9,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,13,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,329,1,0,1,1
P.132_N.30_132/30/06_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/06,SRI PARIT,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA LUKUT,,,414,95,13,67,,589,,589,,,,,,,319,270,5,317,,,,,,PKR,ANWAR IBRAHIM,MALE,71,278,PAS,LT KOL (B) HAJI NAZARI,MALE,57,15,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,4,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,16,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,316,1,0,1,1
P.132_N.30_132/30/06_6,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/06,SRI PARIT,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA LUKUT,,1,413,94,5,79,,592,460,132,,,,,,,315,277,6,312,,,,,,PKR,ANWAR IBRAHIM,MALE,71,284,PAS,LT KOL (B) HAJI NAZARI,MALE,57,14,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,8,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,311,1,0,1,1
P.132_N.30_132/30/07_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/07,TANJONG GEMOK,DEWAN SRI TANJUNG (IPP),1,,130,146,7,66,,350,,,,,234,82,28,6,156,194,1,224,,,,,,PKR,ANWAR IBRAHIM,MALE,71,171,PAS,LT KOL (B) HAJI NAZARI,MALE,57,23,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,18,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,6,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,223,1,0,1,1
P.132_N.30_132/30/07_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/07,TANJONG GEMOK,DEWAN SRI TANJUNG (IPP),,1,206,238,7,116,,568,,,147,417,4,,,,262,306,2,379,,,,,,PKR,ANWAR IBRAHIM,MALE,71,309,PAS,LT KOL (B) HAJI NAZARI,MALE,57,30,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,28,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,7,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,377,2,0,1,1
P.132_N.30_132/30/07_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/07,TANJONG GEMOK,DEWAN SRI TANJUNG (IPP),,1,260,186,10,111,,568,,110,458,,,,,,275,293,3,328,,,,,,PKR,ANWAR IBRAHIM,MALE,71,273,PAS,LT KOL (B) HAJI NAZARI,MALE,57,31,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,11,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,5,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,324,4,0,1,1
P.132_N.30_132/30/07_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/07,TANJONG GEMOK,DEWAN SRI TANJUNG (IPP),,2,275,168,1,122,,568,,568,,,,,,,284,284,4,277,,,,,,PKR,ANWAR IBRAHIM,MALE,71,235,PAS,LT KOL (B) HAJI NAZARI,MALE,57,24,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,12,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,4,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,276,1,0,1,1
P.132_N.30_132/30/07_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/07,TANJONG GEMOK,DEWAN SRI TANJUNG (IPP),,1,256,143,,171,,571,464,107,,,,,,,273,298,5,291,,,,,,PKR,ANWAR IBRAHIM,MALE,71,225,PAS,LT KOL (B) HAJI NAZARI,MALE,57,36,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,20,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,8,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,290,1,0,1,1
P.132_N.31_132/31/01_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/01,LADANG ATHERTON,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ATHERTON,,,32,310,,20,,362,17,39,91,90,77,33,10,5,176,186,1,157,,,,,,PKR,ANWAR IBRAHIM,MALE,71,112,PAS,LT KOL (B) HAJI NAZARI,MALE,57,11,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,28,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,153,4,0,1,1
P.132_N.31_132/31/02_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/02,PEKAN SILIAU,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SILIAU,,,53,274,4,19,,350,,,7,150,112,49,27,5,158,192,1,185,,,,,,PKR,ANWAR IBRAHIM,MALE,71,151,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,14,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,181,4,0,1,1
P.132_N.31_132/31/02_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/02,PEKAN SILIAU,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SILIAU,,1,18,167,2,16,,204,29,67,108,,,,,,98,106,2,101,,,,,,PKR,ANWAR IBRAHIM,MALE,71,90,PAS,LT KOL (B) HAJI NAZARI,MALE,57,2,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,101,0,0,1,1
P.132_N.31_132/31/03_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/03,LADANG BRADWALL,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG BRADWALL,,,89,263,3,4,,359,20,43,74,106,76,30,6,4,168,191,1,173,,,,,,PKR,ANWAR IBRAHIM,MALE,71,114,PAS,LT KOL (B) HAJI NAZARI,MALE,57,9,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,4,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,41,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,171,2,0,1,1
P.132_N.31_132/31/04_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/04,SUA BETONG,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SUA BETONG,,,118,204,1,27,,350,,,,61,159,80,37,13,160,190,1,162,,,,,,PKR,ANWAR IBRAHIM,MALE,71,120,PAS,LT KOL (B) HAJI NAZARI,MALE,57,11,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,4,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,20,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,4,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,161,1,0,1,1
P.132_N.31_132/31/04_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/04,SUA BETONG,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SUA BETONG,,,54,270,5,41,,370,29,69,134,138,,,,,184,186,2,184,,,,,,PKR,ANWAR IBRAHIM,MALE,71,145,PAS,LT KOL (B) HAJI NAZARI,MALE,57,11,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,22,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,183,1,0,1,1
P.132_N.31_132/31/05_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/05,SUNGGALA,SEKOLAH KEBANGSAAN SI-RUSA,1,2,39,67,1,135,,245,10,24,53,46,52,51,8,1,118,127,1,138,,,,,,PKR,ANWAR IBRAHIM,MALE,71,96,PAS,LT KOL (B) HAJI NAZARI,MALE,57,25,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,14,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,137,1,0,1,1
